"ord","fam","spp","mass.fem","gest.mo","lac.mo","mass.litter","repro.output","dev.birth","diet","arid","biome","N","fat","gest.month","lacat.mo","prot","sugar","energy"
"Cetacea","Balaenopteridae","Megaptera novaeangliae",32400000,11.43,9.1,1338250,0.04,3,"carnivore","no","aquatic","8",33,11.43,9.1,12.5,NA,NA
"Cetacea","Delphinidae","Stenalla attenuata",57400,11.4,18,1000,0.02,3,"carnivore","no","aquatic","3",22.5,11.4,18,8.4,1.2,2.59
"Cetacea","Delphinidae","Tursiops truncates",141000,12.12,18.9,18920,0.13,3,"carnivore","no","aquatic","4",29.4,12.12,18.9,12.2,2.5,3.49
"Chiroptera","Molossidae","Tadarida brasiliensis",12.07,2.68,1.3,3,0.25,0,"carnivore","no","terrestrial","21",25.8,2.68,1.3,7.7,3.4,2.94
"Chiroptera","Phyllostomatidae","Artibeus jamaicensis",42,4,2,5.9,0.14,2,"herbivore","no","terrestrial","21",9,4,2,3.6,6.1,1.27
"Chiroptera","Phyllostomatidae","Phyllostomus hastatus",82,4,8,16,0.2,2,"omnivore","no","terrestrial","23-32",13.1,4,8,9.1,4,1.88
"Chiroptera","Pteropodidae","Pteropus pumilus",173,5,2.9,45,0.26,2,"herbivore","no","terrestrial","11-Jul",6.1,5,2.9,2.6,6.4,0.96
"Chiroptera","Pteropodidae","Pteropus rodricensis",350,5,2.5,45,0.13,2,"herbivore","no","terrestrial","13-19",6.7,5,2.5,3.4,6.4,1.06
"Chiroptera","Pteropodidae","Pteropus hypomelanus",522,6.5,1.5,74,0.14,2,"herbivore","no","terrestrial","34-43",8.5,6.5,1.5,2.7,5.7,1.16
"Chiroptera","Pteropodidae","Pteropus vampyrus",850,5.53,2.5,133,0.16,2,"herbivore","no","terrestrial","24-27",7.2,5.53,2.5,3.1,5.7,1.06
"Chiroptera","Pteropodidae","Pteropus poliocephalus",800,6,5.5,69,0.09,2,"herbivore","no","terrestrial","31",2,6,5.5,2.5,6.2,0.57
"Chiroptera","Vespertilionidae","Myotis lucifugus",8,1.83,0.8,3,0.38,1,"carnivore","no","terrestrial","3",15.8,1.83,0.8,8.5,4,2.1
"Chiroptera","Vespertilionidae","Myotis velifer",8,2.17,1.5,3,0.38,1,"carnivore","no","terrestrial","3",19.9,2.17,1.5,10.7,4.4,2.61
"Dasyuromorphia","Dasyuridae","Dasyurus viverrinus",915,0.73,4.5,1,0.001,0,"carnivore","no","terrestrial","Aug-35",10.9,0.73,4.5,7.3,5.6,1.64
"Didelphimorphia","Didelphidae","Didelphis virginiana",1906,0.42,3.3,1,5e-04,0,"omnivore","no","terrestrial","5-Mar",11,0.42,3.3,9.5,5.9,1.79
"Diprotodontia","Macropodidae","Macropus eugenii",5500,0.94,10.5,0.4,7e-05,0,"herbivore","yes","terrestrial","18",4,0.94,10.5,6,12.5,1.21
"Diprotodontia","Macropodidae","Macropus rufus",26025,1.1,10.3,0.8,3e-05,0,"herbivore","yes","terrestrial","6",6.1,1.1,10.3,7.2,NA,NA
"Diprotodontia","Macropodidae","Macropus rufogriseus",12425,0.98,14.5,0.6,5e-05,0,"herbivore","yes","terrestrial","Aug-39",7.2,0.98,14.5,6.8,10.9,1.48
"Diprotodontia","Macropodidae","Setonix brachyurus",2900,0.9,8,0.4,1e-04,0,"herbivore","yes","terrestrial","18-Mar",10.4,0.9,8,10.3,2.5,1.65
"Diprotodontia","Macropodidae","Thylogale billardierii",4000,1,9,0.4,1e-04,0,"herbivore","no","terrestrial","71",7.1,1,9,8,8.1,1.44
"Diprotodontia","Phalangeridae","Trichosurus vulpecula",2150,0.58,6.5,2,9e-04,0,"omnivore","yes","terrestrial","20-23",4.4,0.58,6.5,7,11,1.25
"Diprotodontia","Phascolarctidae","Phascolarctos cinereus",5683,1.03,11.4,0.4,7e-05,0,"herbivore","no","terrestrial","12",16,1.03,11.4,8,4.5,2.1
"Diprotodontia","Potoroidae7","Bettongia gaimardi",1725,0.7,3.8,0.3,2e-04,0,"herbivore","yes","terrestrial","6-Mar",4,0.7,3.8,11,11,1.44
"Diprotodontia","Potoroidae7","Potorous tridactylus",1047,1.27,1.4,0.3,3e-04,0,"omnivore","yes","terrestrial","5-Mar",3,1.27,1.4,10,14,1.41
"Diprotodontia","Pseudocheiridae8","Pseudocheirus peregrinus",910,3.5,7.3,0.6,7e-04,0,"herbivore","no","terrestrial",">8",3,3.5,7.3,4.5,12.5,1.03
"Lagomorpha","Leporidae","Lepus europaeus",3961,1.42,0.9,337,0.09,3,"herbivore","yes","terrestrial","30",15.6,1.42,0.9,10,1.5,2.07
"Lagomorpha","Leporidae","Oryctolagus cuniculus",1444,1.02,0.9,219,0.15,0,"herbivore","yes","terrestrial","56",15.2,1.02,0.9,10.3,1.8,2.06
"Lagomorpha","Leporidae","Sylvilagus floridanus",1237,0.9,0.8,176,0.14,1,"herbivore","no","terrestrial","4",14.4,0.9,0.8,15.8,2.7,2.34
"Monotremata","Ornithorhynchidae","Ornithorhynchus anatinus",1268,1,3.5,0.6,5e-04,0,"carnivore","no","aquatic","10",22.2,1,3.5,8.2,3.7,2.65
"Monotremata","Tachyglossidae","Tachyglossus aculeatus",3600,0.77,3,0.3,8e-05,0,"carnivore","yes","terrestrial","15",31,0.77,3,12.4,2.3,3.64
"Peramelemorphia","Paramelidae","Isoodon macrourus",877,0.42,2.3,0.7,8e-04,0,"omnivore","no","terrestrial","10-Aug",10,0.42,2.3,9,6.9,1.71
"Peramelemorphia","Paramelidae","Paremeles gunnii",736,0.4,2.5,0.5,7e-04,0,"omnivore","no","terrestrial","7",8,0.4,2.5,9.5,3.3,1.42
"Perrissodactyla","Equidae","Equus asinus",250000,11.97,13,29167,0.12,3,"herbivore","yes","terrestrial","9",1.8,11.97,13,1.7,5.9,0.5
"Perrissodactyla","Equidae","Equus burchellii",276000,12.16,10.8,32292,0.12,3,"herbivore","yes","terrestrial","5",2.2,12.16,10.8,1.6,7,0.57
"Perrissodactyla","Equidae","Equus ferus przewalskii",250000,11.5,10.5,30000,0.12,3,"herbivore","yes","terrestrial","14",1.5,11.5,10.5,1.6,6.7,0.5
"Perrissodactyla","Equidae","Equus zebra",262000,12.02,10,30000,0.01,3,"herbivore","yes","terrestrial","7",1,12.02,10,1.6,6.9,0.46
"Perrissodactyla","Rhinocerotidae","Diceros bicornis",884000,16.12,19.9,34167,0.04,2,"herbivore","yes","terrestrial","11",0.2,16.12,19.9,1.4,6.6,0.36
"Perrissodactyla","Tapiridae","Tapirus bairdii",3e+05,13.17,12,9400,0.03,3,"herbivore","no","terrestrial","4",1.9,13.17,12,4.6,5.3,0.65
"Perrissodactyla","Tapiridae","Tapirus terrestris",187500,13.18,9.5,5418,0.03,3,"omnivore","no","terrestrial","3",3.9,13.18,9.5,4.4,5.3,0.82
"Primates","Atelidae12","Aloutta seniculus",5390,6.37,12.3,354,0.07,2,"herbivore","no","terrestrial","7",1.1,6.37,12.3,1.9,6.6,0.47
"Primates","Atelidae12","Aloutta palliata",6400,6.22,14.2,369,0.06,2,"herbivore","no","terrestrial","7",1.6,6.22,14.2,2.2,6.7,0.54
"Primates","Callitrichidae","Callithrix jacchus",323,4.9,5.4,61,0.19,2,"omnivore","no","terrestrial","10",3.6,4.9,5.4,2.7,7.4,0.78
"Primates","Callitrichidae","Leontopithecus rosalia",570,4.35,4.3,107,0.19,2,"omnivore","no","terrestrial","4",10.2,4.35,4.3,3,6.8,1.37
"Primates","Cebidae","Saimiri boliviensis boliviensis",750,4.5,5,107,0.14,2,"omnivore","no","terrestrial","8",4.6,4.5,5,3.6,7,0.91
"Primates","Cercopithecidae","Chlorocebus pygerythrus",5750,5.5,8.5,318,0.06,2,"omnivore","no","terrestrial","4",3.1,5.5,8.5,1.6,8.5,0.71
"Primates","Cercopithecidae","Macaca fascicularis",3233,5.49,9.6,408,0.13,2,"carnivore","no","terrestrial","8",5.2,5.49,9.6,1.6,NA,NA
"Primates","Cercopithecidae","Macaca fuscata",10750,5.72,12.1,672,0.06,2,"omnivore","no","terrestrial","7",4.2,5.72,12.1,1.6,6.2,0.72
"Primates","Cercopithecidae","Macaca mulatta",5140,5.47,9.5,476,0.09,2,"omnivore","no","terrestrial","58",6.2,5.47,9.5,2.1,7.5,0.98
"Primates","Cercopithecidae","Miopithecus talapoin",1120,5.4,5.4,188,0.17,2,"omnivore","no","terrestrial","4",3,5.4,5.4,2.1,7.2,0.68
"Primates","Cercopithecidae","Papio anubis",12933,1.1,7,1068,0.08,2,"omnivore","yes","terrestrial","24",4.5,1.1,7,1.5,7.8,0.81
"Primates","Cercopithecidae","Papio cynocephalus",11725,1.1,7,854,0.07,2,"omnivore","yes","terrestrial","24",4.5,1.1,7,1.5,7.8,0.81
"Primates","Cercopithecidae","Papio papio",19500,1.1,7,1000,0.05,2,"omnivore","yes","terrestrial","24",4.5,1.1,7,1.5,7.8,0.81
